Epoch 41/400: [===============] 100% | Error 45.6743 | Acc: 0.691111 AT 7.27889 | val_Acc 0.6 | val_AT 9.05247| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 45.6809 | Acc: 0.618889 AT 8.54833 | val_Acc 0.635 | val_AT 8.20026| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 45.6842 | Acc: 0.698889 AT 7.01333 | val_Acc 0.725 | val_AT 6.371| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 45.6885 | Acc: 0.766111 AT 5.63278 | val_Acc 0.745 | val_AT 5.89185| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 45.7579 | Acc: 0.437222 AT 4.88944 | val_Acc 0.15 | val_AT 2.97446| nb_modif 4 | env_th 4 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 8.05816 | Acc: 0.00666667 AT 19.8056 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 20.4152 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 30.7757 | Acc: 0.00111111 AT 19.9911 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 39.7189 | Acc: 0.0222222 AT 19.805 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 5 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 43.2181 | Acc: 0.02 AT 19.7261 | val_Acc 0.13 | val_AT 17.89| nb_modif 11 | env_th 5 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 44.1231 | Acc: 0.413889 AT 13.2578 | val_Acc 0.56 | val_AT 10.9745| nb_modif 8 | env_th 5 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 44.4801 | Acc: 0.54 AT 11.2233 | val_Acc 0.575 | val_AT 10.4049| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 44.7123 | Acc: 0.626111 AT 9.54889 | val_Acc 0.61 | val_AT 9.62702| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 44.8716 | Acc: 0.531667 AT 11.0678 | val_Acc 0.53 | val_AT 11.2881| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 44.9543 | Acc: 0.611667 AT 9.93056 | val_Acc 0.6 | val_AT 10.1414| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 45.0191 | Acc: 0.693889 AT 8.60333 | val_Acc 0.71 | val_AT 8.30571| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 45.0696 | Acc: 0.697778 AT 8.56278 | val_Acc 0.68 | val_AT 8.88653| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 45.119 | Acc: 0.632778 AT 9.78111 | val_Acc 0.61 | val_AT 10.1144| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 45.1575 | Acc: 0.558889 AT 10.9328 | val_Acc 0.5 | val_AT 11.9606| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 45.1932 | Acc: 0.573333 AT 10.8789 | val_Acc 0.615 | val_AT 10.2148| nb_modif 7 | env_th 5 | elaps: 0s
